checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
no checking account,12,critical account / other credits,radio/television,2331,unknown / no savings account,>=7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,2039.95
no checking account,36,delay in paying off in the past,radio/television,4463,<100 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),26,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,3905.74
no checking account,12,existing credits paid duly till now,radio/television,776,<100 DM,1-4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,679.11
<0 DM,30,existing credits paid duly till now,furniture/equipment,2406,<100 DM,4-7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,2105.58
0-200 DM,18,existing credits paid duly till now,education,1239,unknown / no savings account,1-4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,1084.3
>=200 DM / salary assignments,12,existing credits paid duly till now,radio/television,3399,unknown / no savings account,>=7 years,2,male : single,none,3,car or other (not in attribute 6),37,none,own,1,management / self-employed / highly qualified,1,none,yes,1,good,>=175 EUR / salary assignments,unknown / no savings account,2974.59
>=200 DM / salary assignments,12,delay in paying off in the past,car (new),2247,<100 DM,1-4 years,2,female : divorced/separated/married,none,2,car or other (not in attribute 6),36,stores,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,1966.44
no checking account,6,existing credits paid duly till now,furniture/equipment,1766,<100 DM,1-4 years,1,male : married/widowed,none,2,building society savings / life insurance,21,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1545.49
<0 DM,18,existing credits paid duly till now,furniture/equipment,2473,<100 DM,unemployed,4,male : single,none,1,car or other (not in attribute 6),25,none,own,1,unemployed / unskilled non-resident,1,none,yes,2,bad,<0 EUR,<87 EUR,2164.22
no checking account,12,existing credits paid duly till now,business,1542,<100 DM,4-7 years,2,male : single,none,4,car or other (not in attribute 6),36,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1349.46
no checking account,18,critical account / other credits,car (used),3850,<100 DM,4-7 years,3,male : single,none,1,car or other (not in attribute 6),27,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,3369.28
<0 DM,18,existing credits paid duly till now,furniture/equipment,3650,<100 DM,<1 year,1,female : divorced/separated/married,none,4,car or other (not in attribute 6),22,none,rent,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3194.25
<0 DM,36,existing credits paid duly till now,furniture/equipment,3446,<100 DM,>=7 years,4,male : single,none,2,car or other (not in attribute 6),42,none,own,1,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,3015.73
0-200 DM,18,existing credits paid duly till now,furniture/equipment,3001,<100 DM,4-7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,2626.29
no checking account,36,existing credits paid duly till now,car (new),3079,unknown / no savings account,1-4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,2694.55
no checking account,18,critical account / other credits,radio/television,6070,<100 DM,>=7 years,3,male : single,none,4,car or other (not in attribute 6),33,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,5312.09
no checking account,10,critical account / other credits,furniture/equipment,2146,<100 DM,<1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1878.05
no checking account,60,critical account / other credits,car (new),13756,unknown / no savings account,>=7 years,2,male : single,none,4,unknown / no property,63,bank,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,12038.4
0-200 DM,60,all credits at this bank paid duly,others,14782,100-500 DM,>=7 years,3,female : divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,87-437 EUR,12936.29
<0 DM,48,all credits at this bank paid duly,business,7685,<100 DM,4-7 years,2,female : divorced/separated/married,guarantor,4,car or other (not in attribute 6),37,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,6725.44
no checking account,18,delay in paying off in the past,radio/television,2320,<100 DM,unemployed,2,male : married/widowed,none,3,real estate,34,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,2030.32
no checking account,7,delay in paying off in the past,radio/television,846,unknown / no savings account,>=7 years,3,male : single,none,4,unknown / no property,36,none,for free,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,740.37
0-200 DM,36,existing credits paid duly till now,car (new),14318,<100 DM,>=7 years,4,male : single,none,2,unknown / no property,57,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,12530.23
no checking account,6,critical account / other credits,car (new),362,100-500 DM,1-4 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),52,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,87-437 EUR,316.8
<0 DM,20,existing credits paid duly till now,furniture/equipment,2212,unknown / no savings account,4-7 years,4,male : single,none,4,car or other (not in attribute 6),39,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,unknown / no savings account,1935.81
0-200 DM,18,existing credits paid duly till now,car (used),12976,<100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,11355.79
no checking account,22,existing credits paid duly till now,car (new),1283,unknown / no savings account,4-7 years,4,female : divorced/separated/married,none,4,building society savings / life insurance,25,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,1122.8
>=200 DM / salary assignments,12,existing credits paid duly till now,car (new),1330,<100 DM,<1 year,4,male : single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,1163.93
no checking account,30,delay in paying off in the past,business,4272,100-500 DM,1-4 years,2,male : single,none,2,building society savings / life insurance,26,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,87-437 EUR,3738.59
no checking account,18,critical account / other credits,radio/television,2238,<100 DM,1-4 years,2,female : divorced/separated/married,none,1,car or other (not in attribute 6),25,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1958.56
no checking account,18,existing credits paid duly till now,radio/television,1126,unknown / no savings account,<1 year,4,female : divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,985.41
0-200 DM,18,critical account / other credits,furniture/equipment,7374,<100 DM,unemployed,4,male : single,none,4,building society savings / life insurance,40,stores,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,6453.27
0-200 DM,15,critical account / other credits,business,2326,500-1000 DM,1-4 years,2,male : single,none,4,car or other (not in attribute 6),27,bank,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,437-875 EUR,2035.57
no checking account,9,existing credits paid duly till now,business,1449,<100 DM,4-7 years,3,female : divorced/separated/married,none,2,car or other (not in attribute 6),27,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1268.08
no checking account,18,existing credits paid duly till now,car (new),1820,<100 DM,1-4 years,2,male : married/widowed,none,2,building society savings / life insurance,30,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1592.75
0-200 DM,12,existing credits paid duly till now,furniture/equipment,983,>=1000 DM,<1 year,1,female : divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,1,good,0-175 EUR,>=875 EUR,860.26
<0 DM,36,existing credits paid duly till now,car (new),3249,<100 DM,4-7 years,2,male : single,none,4,unknown / no property,39,bank,for free,1,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,2843.32
<0 DM,6,critical account / other credits,radio/television,1957,<100 DM,4-7 years,1,female : divorced/separated/married,none,4,car or other (not in attribute 6),31,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1712.65
no checking account,9,critical account / other credits,furniture/equipment,2406,<100 DM,unemployed,2,male : single,none,3,car or other (not in attribute 6),31,none,own,1,management / self-employed / highly qualified,1,none,yes,1,good,no checking account,<87 EUR,2105.58
0-200 DM,39,delay in paying off in the past,education,11760,100-500 DM,4-7 years,2,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,10291.62
<0 DM,12,existing credits paid duly till now,furniture/equipment,2578,<100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,1,management / self-employed / highly qualified,1,none,yes,1,good,<0 EUR,<87 EUR,2256.11
<0 DM,36,critical account / other credits,furniture/equipment,2348,<100 DM,1-4 years,3,male : married/widowed,none,2,building society savings / life insurance,46,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,2054.82
0-200 DM,12,existing credits paid duly till now,car (new),1223,<100 DM,>=7 years,1,male : divorced/separated,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,1070.29
no checking account,24,critical account / other credits,radio/television,1516,>=1000 DM,1-4 years,4,female : divorced/separated/married,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,>=875 EUR,1326.71
no checking account,18,existing credits paid duly till now,radio/television,1473,<100 DM,<1 year,3,male : married/widowed,none,4,real estate,39,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1289.08
0-200 DM,18,critical account / other credits,business,1887,unknown / no savings account,1-4 years,4,male : married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,1651.39
no checking account,24,delay in paying off in the past,business,8648,<100 DM,<1 year,2,male : single,none,2,car or other (not in attribute 6),27,bank,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,7568.19
no checking account,14,delay in paying off in the past,car (new),802,<100 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),27,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,701.86
0-200 DM,18,delay in paying off in the past,car (new),2899,unknown / no savings account,>=7 years,4,male : single,none,4,car or other (not in attribute 6),43,none,own,1,skilled employee / official,2,none,yes,1,good,0-175 EUR,unknown / no savings account,2537.03
